episodicTitle,episodicCategory,episodicSynopsis,episodicLanguage,episodicPosterUrl,episodicStudioName,episodicCrew/0/crewName,episodicCrew/0/crewRole,episodicCast/0/screenName,episodicCast/0/realName,episodeList/0/episodeNo,episodeList/0/episodeUrl,episodeList/0/episodePosterUrl,episodeList/0/episodeDescription,episodeList/0/episodeReleaseDate,episodicType
Naam Iruvar,TV Episodes,"Separated at birth, twins Aravind and Mayan are poles apart in nature.",Tamil,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/7138/377138-h",Fiction Team,Ramanan Script Works ,writer, Thamarai Aravind ,Rashmi Jayraj ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/9582/229582-h.jpg","Sandanpandi Talks to DeviSandanpandi talks about Thamarai and Aravind's wedding anniversary with Devi. Later, Valli and Lingam question Devi about her decision. ",2018-03-30,premium
Anjali,TV Episodes,"After the birth of their twins, Surya separates his specially abled daughter Anjali.",Tamil,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/7006/377006-h.jpg",Global Villagers Production,Amirthraj,writer, Anjali,Adhitri Guruvayappan ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/4480/34480-h.jpg","Nirmala, Bhuvana Create ChaosNirmala and Bhuvana create a scene when Theinmozhi advises Suriya to spend time with Karthik. Later, the father and son manage to spend some quality time together.",2019-03-01,free
Raja Rani,TV Episodes,"Due to certain circumstances, Karthik marries the maid of his family, Sembaruthi.",Tamil,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/1593/371593-h",Global Villagers Production, enkatesh Babu,producer, Karthik,Sanjeev ,1,null,https://secure-media1.hotstarext.com/t_web_hs_2_5x/r1/thumbs/PCTV/20/1000177620/PCTV-1000177620-hcdl.jpg,"Parents' Wedding AnniversaryThe family members conspire to secure their parents' money while they celebrate their 40th wedding anniversary. They taunt Sembaruthi, the maid, for the extra freedom she enjoys. ",2017-05-29,free
Krishnaveni,TV Episodes,"As a single mum, Sudha's life revolves around her daughter, Krishnaveni.",Telugu,https://static.toiimg.com/photo/msid-61966117/61966117.jpg?resizemode=4&width=400,Story Palet, enkatesh Babu,producer,sudha ,Manjula Paritala ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/7490/267490-h.jpg","Arjun's Actions Disappoint Indrani	Krishnaveni gives the news about her new job to Sudha. On the other hand, Indrani gets disappointed with Arjun's lowly behaviour.",2018-11-06,premium
Ave Kallu,TV Episodes,"After Mohini turns into a witch, her daughter Niyati faces some spine-chilling.",Telugu,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/9277/119277-h.jpg       ",4 Lions Films, Mrinal Jha,writer,Ansh Rathod,Harsh Rajput  ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/1111/171111-h.jpg","Ansh Is Worried About VaidehiAnsh gets shocked when Vaidehi falls unconscious. Later, Vaidehi and her family recall the grievous past.",2018-11-14,premium
Mounaraagam,TV Episodes,"A heartwarming story of an unwanted girl child, who faces the wrath of the family that wanted a boy.",Telugu,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/2707/12707-h.jpg     ",Story Palet, Priya Thampi,writer,Ammulu,Priyanka M Jain,1,null," https://img1.hotstarext.com/image/upload/f_auto,t_web_hs_2_5x/sources/r1/cms/prod/3880/523880-h.jpg","Ammulu's Never-ending Distres Ammulu fears the most when Seenaiah learns about her deed. Later, Kanthamma's restrictions for Ammulu sadden her little heart.",2018-09-20,premium
Manasuna Manasai,TV Episodes,"Here's a tale of two couples who are as different as chalk and cheese, but destiny gets them entangl...",Telugu,"https://img1.hotstarext.com/image/upload/f_auto,t_web_hs_2_5x/sources/r1/cms/prod/8240/218240-h",Harini Media, Priya Thampi,writer,Daksha,Chaithra Rai,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_web_hs_2_5x/sources/r1/cms/prod/6869/166869-h.jpg","Shakti's Firm Decision Daksha feels grievous recalling Eshwar's deed towards her. Later, Shakti decides to teach Daksha a lesson and follows her.",2018-12-07,free
Eetaram Illalu,TV Episodes,"Eetaram Illalu is a Telugu romantic drama aired on Maa TV. It's the story of Surya, a loving husband ..",Telugu,https://secure-media1.hotstarext.com/r1/thumbs/PCTV/16/4116/PCTV-4116-hcdl.jpg  ,‎Shashi Sumeet Production, Shashi Sumeet Mittal,writer,sandhya,Deepika Singh,1,null,https://secure-media1.hotstarext.com/r1/thumbs/PCTV/57/1000001357/PCTV-1000001357-hcdl.jpg,"Meenakshi mocks at Sandhya  Meenakshi and Yemi request Santoshi to give the keys of the shop. Santoshi tells Vikram and Rohit that she will give them the keys after the Diwali puja. Sandhya gets entangled in the decorative lights. Meenakshi praises Sandhya's beauty, but later mocks at her. Santoshi defends Sandhya.",2015-06-01,free
Malleeswari,TV Episodes,"To provide a better life for her family, Malleeswari marries a rich man's son, who is serving a deat...",Telugu,https://secure-media1.hotstarext.com/r1/thumbs/PCTV/05/12405/PCTV-12405-hcdl.jpg ,‎Shashi Sumeet Production, Shashi Sumeet Mittal,writer,Malleeswari,Aishwarya,1,null,https://secure-media1.hotstarext.com/t_web_hs_2_5x/r1/thumbs/PCTV/41/1000161841/PCTV-1000161841-hcdl.jpg," Malleeswari Loses Her LivelihoodMalleeswari learns about Setji's deadline for repaying the loan. Ramana takes Rajgopal to Malleeswari's house with a marriage proposal. Meanwhile, Malleeswari's shop is destroyed by the municipal authorities!",2016-12-27,free
Permanent Roommates,Web Series," This series revolves around a young couple, Tanya and Mikesh, who after being in a long distance relationship for 3 years, face the prospect   of  marriage..",Hindi,https://upload.wikimedia.org/wikipedia/en/b/b1/Permanent_Roommates_-_Poster.jpg,‎The Viral Fever Media Labs.,Biswapati Sarkar  ,writer,Mikesh Chaudhary,Sumeet Vyas,1,null,https://www.dopewope.com/wp-content/uploads/2017/11/2-7.png,"Tanya gets a surprise marriage proposal from her boyfriend Mikesh, after being in a 3-year long distance relationship. Before she can start protesting about it, Mikesh reveals his own master-plan.",2014-10-29,free
Twisted,Web Series," This starts with the murder of Naina Raichand, wife of Ranbir Raichand. CID Officers Aryan Mathur and Disha Aggarwal have shortlisted the suspects to Ranbir Raichand and supermodel Aliyah Mukerjee, who is Ranbir's mistress..",Hindi,https://i.ytimg.com/vi/kcuRZXo56IA/maxresdefault.jpg,‎VB On The Web.,Sameer Joshi,writer,Aliyah Mukerjee,Nia Sharma,1,null,http://i.ytimg.com/vi/4HFqmn4q-8s/hqdefault.jpg,"This starts with the murder of Naina Raichand, wife of Ranbir Raichand. CID Officers Aryan Mathur and Disha Aggarwal have shortlisted the suspects to Ranbir Raichand and supermodel Aliyah Mukerjee, who is Ranbir's mistress..",2017-03-30,premium
TVF Pitchers,Web Series," Four friends, Naveen Bansal (Naveen), Jitendra Maheshwari (Jitu), Yogendra Kumar (Yogi) and Saurabh Mandal (Mandal), enter the business world by launching their own start-up company.",Hindi,https://image.tmdb.org/t/p/original/2qnnb9LEfFqIoSSBgZ6VuqWPa7v.jpg,‎The Viral Fever Media Labs.,Biswapati Sarkar,writer,Naveen Bansal,Naveen Kasturia,1,null,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/70cf8975-daef-4b6c-b22e-ad5eb406a6f1/d9fxroi-b96e0a1a-f7b4-482e-8f86-a4879e2622dd.png,"Naveen is pissed off at his company for not letting him lead a project, for which he worked really hard. His mentor Bhati asks him a very fundamental question 'What are you?'. Naveen and his friends discover the answer to the question in different ways.",2015-06-03,free
Yeh Meri Family,Web Series, Yeh Meri Family is a story told from the point of view of a 12-year-old boy about his family and the various ups and downs experienced by them in their day-to-day lives.,Hindi,https://m.media-amazon.com/images/M/MV5BNjhmNTNmNWItYzc3ZC00YmYyLWIwOTgtZmYxNGJmMTcwOGVlXkEyXkFqcGdeQXVyMzMwNTY1MjM@._V1_.jpg,‎Contagious Online Media Network.,Saurabh Khanna,writer,Harshal Gupta,Vishesh Bansal,1,null,https://images.indianexpress.com/2018/07/yeh-759.jpg,"Welcome to the home of the Guptas, in the summer of '98. Meet Harshu, our 12-year old, naughty but nice hero. He has a strict but caring mother, a cool father who is the engine of the family, a nerdy elder brother and an adorable baby sister, the apple of everyone’s eyes.",2018-06-12,premium
A.I.SHA My Virtual Girlfriend,Web Series,"The series revolves around the story of a relationship between Sam, a genius app developer, and a woman. Only, the woman is the first-of-its-kind Artificial Intelligence Simulated Humanoid Assistant.",Hindi,"https://res.cloudinary.com/arre/image/upload/c_fill,g_face,w_330,h_300,e_sharpen:100,f_auto,q_auto/v1474374198/Website-Thumbnail2_ip2f7h.jpg",‎Monozygotic Solutions.,Harman Singha ,writer,Harman Singha,Sameer Luthra,1,null,https://m.media-amazon.com/images/M/MV5BN2Q1NTYwYzUtYjgwYy00YWRmLTgwMzItMzAxZGIwOThmMTJjXkEyXkFqcGdeQXVyNjY2Mzk3Mzg@._V1_.jpg,"Welcome to the home of the Guptas, in the summer of '98. Meet Harshu, our 12-year old, naughty but nice hero. He has a strict but caring mother, a cool father who is the engine of the family, a nerdy elder brother and an adorable baby sister, the apple of everyone’s eyes.",2018-06-12,premium
